area,date,start_hour,price,compensation,filtered_price
NO2,2022-12-11,21,4.2884125,2.23403851814516,2.05437398185484
NO2,2022-12-11,22,4.1413125,2.23403851814516,1.90727398185484
NO2,2022-12-11,23,3.9163625,2.23403851814516,1.68232398185484
NO2,2022-12-12,0,3.689975,2.23403851814516,1.45593648185484
NO2,2022-12-12,1,3.5630125,2.23403851814516,1.32897398185484
NO2,2022-12-12,2,3.528375,2.23403851814516,1.29433648185484
NO2,2022-12-12,3,3.490575,2.23403851814516,1.25653648185484
NO2,2022-12-12,4,3.4421125,2.23403851814516,1.20807398185484
NO2,2022-12-12,5,3.646775,2.23403851814516,1.41273648185484
NO2,2022-12-12,6,4.7994125,2.23403851814516,2.56537398185484
NO2,2022-12-12,7,6.6039625,2.23403851814516,4.36992398185484
NO2,2022-12-12,8,7.00815,2.23403851814516,4.77411148185484
NO2,2022-12-12,9,6.5728875,2.23403851814516,4.33884898185484
NO2,2022-12-12,10,6.4639625,2.23403851814516,4.22992398185484
NO2,2022-12-12,11,6.363475,2.23403851814516,4.12943648185484
NO2,2022-12-12,12,6.2655,2.23403851814516,4.03146148185484
NO2,2022-12-12,13,6.1739625,2.23403851814516,3.93992398185484
NO2,2022-12-12,14,6.4712125,2.23403851814516,4.23717398185484
NO2,2022-12-12,15,6.8509,2.23403851814516,4.61686148185484
NO2,2022-12-12,16,7.14275,2.23403851814516,4.90871148185484
NO2,2022-12-12,17,7.5206,2.23403851814516,5.28656148185484
NO2,2022-12-12,18,7.12945,2.23403851814516,4.89541148185484
NO2,2022-12-12,19,6.4967625,2.23403851814516,4.26272398185484
NO2,2022-12-12,20,6.2398125,2.23403851814516,4.00577398185484
NO2,2022-12-12,21,5.2182125,2.23403851814516,2.98417398185484
NO2,2022-12-12,22,4.58,2.23403851814516,2.34596148185484
NO2,2022-12-12,23,4.0052625,2.23403851814516,1.77122398185484
NO2,2022-12-13,0,3.9213875,2.23403851814516,1.68734898185484
NO2,2022-12-13,1,3.688225,2.23403851814516,1.45418648185484
NO2,2022-12-13,2,3.652025,2.23403851814516,1.41798648185484
NO2,2022-12-13,3,3.5458,2.23403851814516,1.31176148185484
NO2,2022-12-13,4,3.6138375,2.23403851814516,1.37979898185484
NO2,2022-12-13,5,4.0545625,2.23403851814516,1.82052398185484
NO2,2022-12-13,6,4.71405,2.23403851814516,2.48001148185484
NO2,2022-12-13,7,6.39685,2.23403851814516,4.16281148185484
NO2,2022-12-13,8,7.334425,2.23403851814516,5.10038648185484
NO2,2022-12-13,9,7.09755,2.23403851814516,4.86351148185484
NO2,2022-12-13,10,6.6457375,2.23403851814516,4.41169898185484
NO2,2022-12-13,11,6.480075,2.23403851814516,4.24603648185484
NO2,2022-12-13,12,6.193,2.23403851814516,3.95896148185484
NO2,2022-12-13,13,6.6851125,2.23403851814516,4.45107398185484
NO2,2022-12-13,14,7.090025,2.23403851814516,4.85598648185484
NO2,2022-12-13,15,7.29995,2.23403851814516,5.06591148185484
NO2,2022-12-13,16,7.58345,2.23403851814516,5.34941148185484
NO2,2022-12-13,17,8.785375,2.23403851814516,6.55133648185484
NO2,2022-12-13,18,7.644625,2.23403851814516,5.41058648185484
NO2,2022-12-13,19,6.703475,2.23403851814516,4.46943648185484
NO2,2022-12-13,20,5.8042125,2.23403851814516,3.57017398185484
NO2,2022-12-13,21,4.6738875,2.23403851814516,2.43984898185484
NO2,2022-12-13,22,4.2411,2.23403851814516,2.00706148185484
NO2,2022-12-13,23,3.7397375,2.23403851814516,1.50569898185484
NO2,2022-12-14,0,3.5574625,2.23403851814516,1.32342398185484
NO2,2022-12-14,1,3.5388875,2.23403851814516,1.30484898185484
NO2,2022-12-14,2,3.5155875,2.23403851814516,1.28154898185484
NO2,2022-12-14,3,3.6247125,2.23403851814516,1.39067398185484
NO2,2022-12-14,4,3.56165,2.23403851814516,1.32761148185484
NO2,2022-12-14,5,3.9443625,2.23403851814516,1.71032398185484
