postnr,poststed,kommune,NO 1,NO 2,NO 3,NO 4,NO 5
0775,OSLO,0301,322433.999950039,0,0,0,0
0776,OSLO,0301,334488.104550138,0,0,0,0
0777,OSLO,0301,374472.013800025,0,0,0,0
0778,OSLO,0301,501497.105400007,0,0,0,0
0779,OSLO,0301,550231.791899828,0,0,0,0
0781,OSLO,0301,845260.253150039,0,0,0,0
0782,OSLO,0301,4385565.25085051,0,0,0,0
0783,OSLO,0301,223954.550499913,0,0,0,0
0784,OSLO,0301,209530.438799926,0,0,0,0
0785,OSLO,0301,236421.690249903,0,0,0,0
0786,OSLO,0301,355588.137850059,0,0,0,0
0787,OSLO,0301,702826.327599946,0,0,0,0
0788,OSLO,0301,903437.137800027,0,0,0,0
0789,OSLO,0301,387300.471400058,0,0,0,0
0790,OSLO,0301,574488.240400035,0,0,0,0
0791,OSLO,0301,2639785.53849978,0,0,0,0
0850,OSLO,0301,62002.9661000483,0,0,0,0
0851,OSLO,0301,477087.914050062,0,0,0,0
0852,OSLO,0301,180021.569900009,0,0,0,0
0853,OSLO,0301,167923.822550061,0,0,0,0
0854,OSLO,0301,316650.816150014,0,0,0,0
0855,OSLO,0301,435316.301299949,0,0,0,0
0856,OSLO,0301,97787.9482499911,0,0,0,0
0857,OSLO,0301,17409.7397500509,0,0,0,0
0858,OSLO,0301,81602.9289000593,0,0,0,0
0860,OSLO,0301,503294.592499781,0,0,0,0
0861,OSLO,0301,315763.454800032,0,0,0,0
0862,OSLO,0301,172295.526950061,0,0,0,0
0863,OSLO,0301,361584.841700099,0,0,0,0
0864,OSLO,0301,131450.346150115,0,0,0,0
0870,OSLO,0301,350281.98564989,0,0,0,0
0871,OSLO,0301,293663.314800009,0,0,0,0
0872,OSLO,0301,150708.918549933,0,0,0,0
0873,OSLO,0301,367718.432450086,0,0,0,0
0874,OSLO,0301,356927.418300073,0,0,0,0
0875,OSLO,0301,901709.010550049,0,0,0,0
0876,OSLO,0301,210382.985550077,0,0,0,0
0877,OSLO,0301,21021.4677500087,0,0,0,0
0880,OSLO,0301,380122.605949856,0,0,0,0
0881,OSLO,0301,280188.57140014,0,0,0,0
0882,OSLO,0301,81295.1016500257,0,0,0,0
0883,OSLO,0301,101924.456899956,0,0,0,0
0884,OSLO,0301,376657.073099988,0,0,0,0
0890,OSLO,0301,34058579.7287997,0,0,0,0
0891,OSLO,0301,163338851.447893,0,0,0,0
0950,OSLO,0301,607615.661300056,0,0,0,0
0951,OSLO,0301,194008.670100043,0,0,0,0
0952,OSLO,0301,257506.327699937,0,0,0,0
0953,OSLO,0301,393245.083450017,0,0,0,0
0954,OSLO,0301,154016.217950068,0,0,0,0
0955,OSLO,0301,156880.429749927,0,0,0,0
0956,OSLO,0301,892919.817500029,0,0,0,0
0957,OSLO,0301,2458378.87120051,0,0,0,0
0958,OSLO,0301,1007333.69729997,0,0,0,0
0959,OSLO,0301,41888.0317499647,0,0,0,0
0959,OSLO,0301,130855.842499971,0,0,0,0
0960,OSLO,0301,213392.998549955,0,0,0,0
0962,OSLO,0301,790250.932700139,0,0,0,0
0963,OSLO,0301,1963472.9232001,0,0,0,0
0964,OSLO,0301,1345091.24505015,0,0,0,0
0968,OSLO,0301,191143.193600098,0,0,0,0
0969,OSLO,0301,552354.654400021,0,0,0,0
0970,OSLO,0301,159921.158799894,0,0,0,0
0971,OSLO,0301,253427.60444993,0,0,0,0
0972,OSLO,0301,1476044.31670016,0,0,0,0
0973,OSLO,0301,223123.597299956,0,0,0,0
0975,OSLO,0301,346186.611749966,0,0,0,0
0976,OSLO,0301,795551.294849876,0,0,0,0
0977,OSLO,0301,316926.828699922,0,0,0,0
0978,OSLO,0301,733046.45690015,0,0,0,0
0979,OSLO,0301,291906.156549975,0,0,0,0
0980,OSLO,0301,363427.206700024,0,0,0,0
0981,OSLO,0301,209460.728950037,0,0,0,0
0981,OSLO,0301,66377.914150158,0,0,0,0
0981,OSLO,0301,284155.860449947,0,0,0,0
0982,OSLO,0301,669158.067099697,0,0,0,0
0983,OSLO,0301,424572.55434984,0,0,0,0
0984,OSLO,0301,293883.450000001,0,0,0,0
0985,OSLO,0301,95768.5603500307,0,0,0,0
0986,OSLO,0301,186689.43834989,0,0,0,0
0987,OSLO,0301,138043.394800063,0,0,0,0
0988,OSLO,0301,607999.141749899,0,0,0,0
1051,OSLO,0301,329866.23875003,0,0,0,0
1052,OSLO,0301,91872.2011999991,0,0,0,0
1053,OSLO,0301,613564.668000121,0,0,0,0
